1,ГБУДО г. Москвы ДМШ им. К.Н.Игумнова,Фортепиано,88,Фортепиано,13,Фортепиано,2,Фортепиано,48,духовые и ударные инструменты,2,Фортепиано,37,0
2,ГБУДО г. Москвы ДМШ им. К.Н.Игумнова,струнные инструменты,45,струнные инструменты,4,"",0,струнные инструменты,18,народные инструменты,2,струнные инструменты,8,0
3,ГБУДО г. Москвы ДМШ им. К.Н.Игумнова,духовые и ударные инструменты,40,духовые и ударные инструменты,6,"",0,духовые и ударные инструменты,22,хоровое пение,6,духовые и ударные инструменты,22,0
4,ГБУДО г. Москвы ДМШ им. К.Н.Игумнова,народные инструменты ,34,народные инструменты,6,"",0,народные инструменты,39,сольное академическое пение,1,народные инструменты,7,0
